cas,name,cat1,cat2,cat3,cat4,cat5A,cat5B,cat5C,cat5D,cat6,cat7A,cat7B,cat8,cat9,cat10A,cat10B,cat11A,cat11B,cat12,allergen_26,allergen_83,declared_name
144020-22-4,"Acetic acid, anhydride, reaction products with 1,5,10-Trimethyl-1,5,9-cyclododecatriene",0.00016,0.13,0.4,2.4,0.6,0.52,0.6,0.17,0.00016,0.87,0.87,0.17,2.2,2.2,4.4,0.17,0.17,,FALSE,FALSE,
28371-99-5,"Acetic acid, anhydride, reaction products with 1,5,10-Trimethyl-1,5,9-cyclododecatriene",0.00016,0.13,0.4,2.4,0.6,0.52,0.6,0.17,0.00016,0.87,0.87,0.17,2.2,2.2,4.4,0.17,0.17,,FALSE,FALSE,
84082-84-8,Acetylated Vetiver oil,0.05,0.05,0.05,0.9,0.1,0.1,0.1,0.033,0.098,0.1,0.1,0.033,0.2,0.2,3.8,0.033,0.033,,FALSE,FALSE,
68917-34-0,Acetylated Vetiver oil,0.05,0.05,0.05,0.9,0.1,0.1,0.1,0.033,0.098,0.1,0.1,0.033,0.2,0.2,3.8,0.033,0.033,,FALSE,FALSE,
73246-97-6,Acetylated Vetiver oil,0.05,0.05,0.05,0.9,0.1,0.1,0.1,0.033,0.098,0.1,0.1,0.033,0.2,0.2,3.8,0.033,0.033,,FALSE,FALSE,
62563-80-8,Acetylated Vetiver oil,0.05,0.05,0.05,0.9,0.1,0.1,0.1,0.033,0.098,0.1,0.1,0.033,0.2,0.2,3.8,0.033,0.033,,FALSE,FALSE,
7493-74-5,Allyl phenoxyacetate,0.054,0.016,0.21,0.3,0.076,0.076,0.076,0.025,0.18,0.41,0.41,0.025,0.59,0.59,1.7,0.025,0.025,52.0,FALSE,FALSE,
863306-60-9,Allyl phenoxyacetate,0.054,0.016,0.21,0.3,0.076,0.076,0.076,0.025,0.18,0.41,0.41,0.025,0.59,0.59,1.7,0.025,0.025,52.0,FALSE,FALSE,
101-85-9,alpha-Amyl cinnamic alcohol,0.27,0.08,0.64,1.5,0.38,0.32,0.38,0.11,0.32,0.64,0.64,0.11,1.6,1.6,3.5,0.11,0.11,79.0,TRUE,TRUE,
122-40-7,alpha-Amyl cinnamic aldehyde,0.58,0.53,0.26,7.0,2.5,0.32,0.45,0.11,0.064,0.26,0.26,0.11,1.5,1.5,3.5,0.11,0.11,,TRUE,TRUE,
105-13-5,Anisyl alcohol,0.0028,0.039,0.025,0.21,0.041,0.0055,0.033,0.002,0.091,0.033,0.033,0.002,0.099,0.099,0.17,0.002,0.002,14.0,TRUE,TRUE,
1331-81-3,Anisyl alcohol,0.0028,0.039,0.025,0.21,0.041,0.0055,0.033,0.002,0.091,0.033,0.033,0.002,0.099,0.099,0.17,0.002,0.002,14.0,FALSE,FALSE,
100-52-7,Benzaldehyde,0.045,0.014,0.27,0.25,0.064,0.064,0.064,0.021,0.15,0.52,0.52,0.021,0.49,0.49,1.8,0.021,0.021,,FALSE,TRUE,
100-51-6,Benzyl alcohol,0.45,0.14,0.34,2.5,0.64,0.17,0.34,0.057,1.5,0.68,0.68,0.057,2.2,2.2,8.5,0.057,0.057,,TRUE,TRUE,
120-51-4,Benzyl benzoate,1.7,1.4,0.41,4.8,4.3,0.21,0.83,0.07,0.41,0.41,0.41,0.07,1.9,1.9,12.0,0.07,0.07,,TRUE,TRUE,
103-41-3,Benzyl cinnamate,0.36,0.11,1.2,2.0,0.51,0.51,0.51,0.17,1.2,2.4,2.4,0.17,3.9,3.9,14.0,0.17,0.17,,TRUE,TRUE,
118-58-1,Benzyl salicylate,1.3,0.39,7.8,7.3,1.9,1.9,1.9,1.9,4.3,15.0,15.0,0.77,14.0,51.0,51.0,28.0,28.0,,TRUE,TRUE,
7492-44-6,alpha-Butylcinnamaldehyde,0.077,0.023,0.46,0.43,0.11,0.11,0.11,0.036,0.25,0.88,0.88,0.036,0.84,0.84,3.0,0.036,0.036,,FALSE,FALSE,
62518-65-4,3-(m-tert-Butylphenyl)-2-methylpropionaldehyde (m-BMHCA),0.0086,0.094,0.21,1.8,0.45,0.28,0.42,0.094,0.0086,0.37,0.37,0.094,0.96,0.96,3.1,0.094,0.094,64.0,FALSE,FALSE,
18127-01-0,p-tert-Butyldihydrocinnamaldehyde,0.0041,0.025,0.025,0.47,0.12,0.029,0.037,0.0096,0.087,0.029,0.029,0.0096,0.099,0.099,0.24,0.0096,0.0096,6.9,FALSE,FALSE,
80-54-6,p-tert-Butyl-α-methylhydrocinnamic aldehyde (p-BMHCA),0.0,0.09,0.04,1.4,0.06,0.05,0.05,0.017,0.0,0.04,0.04,0.017,0.1,0.1,0.63,0.017,0.017,16.0,TRUE,TRUE,
99-49-0,Carvone,0.2,0.06,0.02,0.59,0.2,0.039,0.059,0.013,0.66,0.039,0.039,0.013,0.18,0.18,0.43,0.013,0.013,17.0,FALSE,TRUE,
2244-16-8,Carvone,0.2,0.06,0.02,0.59,0.2,0.039,0.059,0.013,0.66,0.039,0.039,0.013,0.18,0.18,0.43,0.013,0.013,17.0,FALSE,TRUE,
6485-40-1,Carvone,0.2,0.06,0.02,0.59,0.2,0.039,0.059,0.013,0.66,0.039,0.039,0.013,0.18,0.18,0.43,0.013,0.013,17.0,FALSE,TRUE,
104-54-1,Cinnamic alcohol,0.22,0.067,0.25,1.2,0.32,0.25,0.25,0.085,0.13,0.25,0.25,0.085,0.76,0.76,2.0,0.085,0.085,51.0,TRUE,TRUE,
104-55-2,Cinnamic aldehyde,0.045,0.014,0.021,0.25,0.064,0.042,0.064,0.014,0.15,0.17,0.17,0.014,0.49,0.49,1.8,0.014,0.014,,TRUE,TRUE,
4364-06-1,Cinnamic aldehyde dimethyl acetal,0.063,0.019,0.38,0.35,0.089,0.089,0.089,0.089,0.21,0.72,0.72,0.037,0.69,2.5,2.5,1.4,1.4,,FALSE,FALSE,
1885-38-7,Cinnamyl nitrile,0.077,0.023,0.46,0.43,0.11,0.11,0.11,0.11,0.25,0.88,0.88,0.045,0.84,3.0,3.0,1.7,1.7,,FALSE,FALSE,
4360-47-8,Cinnamyl nitrile,0.077,0.023,0.46,0.43,0.11,0.11,0.11,0.11,0.25,0.88,0.88,0.045,0.84,3.0,3.0,1.7,1.7,,FALSE,FALSE,
5392-40-5,Citral,0.11,0.032,0.1,0.6,0.15,0.15,0.15,0.051,0.35,0.2,0.2,0.051,1.2,1.2,4.2,0.051,0.051,,TRUE,TRUE,Citral
