ncs_cas,ncs_name,constituent_cas,constituent_name,percent
8014-71-9,Balm oil,72203-98-6,"(E) 3,7-Dimethyl-3,6-octadienal (iso-Geranial)",0.85
84082-61-1,Balm oil,72203-98-6,"(E) 3,7-Dimethyl-3,6-octadienal (iso-Geranial)",0.85
8007-02-1,"Lemongrass oil, East Indian",72203-98-6,"(E) 3,7-Dimethyl-3,6-octadienal (iso-Geranial)",1.3
91844-92-7,"Lemongrass oil, East Indian",72203-98-6,"(E) 3,7-Dimethyl-3,6-octadienal (iso-Geranial)",1.3
8007-02-1,"Lemongrass oil, West Indian",72203-98-6,"(E) 3,7-Dimethyl-3,6-octadienal (iso-Geranial)",1.2
89998-14-1,"Lemongrass oil, West Indian",72203-98-6,"(E) 3,7-Dimethyl-3,6-octadienal (iso-Geranial)",1.2
68855-99-2,Litsea cubeba oil,72203-98-6,"(E) 3,7-Dimethyl-3,6-octadienal (iso-Geranial)",1.0
90063-59-5,Litsea cubeba oil,72203-98-6,"(E) 3,7-Dimethyl-3,6-octadienal (iso-Geranial)",1.0
8048-51-9,Petitgrain lemon oil,72203-98-6,"(E) 3,7-Dimethyl-3,6-octadienal (iso-Geranial)",0.5
84929-31-7,Petitgrain lemon oil,72203-98-6,"(E) 3,7-Dimethyl-3,6-octadienal (iso-Geranial)",0.5
8014-71-9,Balm oil,72203-97-5,"(Z) 3,7-Dimethyl-3,6-octadienal (iso-Neral)",0.4
84082-61-1,Balm oil,72203-97-5,"(Z) 3,7-Dimethyl-3,6-octadienal (iso-Neral)",0.4
8007-02-1,"Lemongrass oil, East Indian",72203-97-5,"(Z) 3,7-Dimethyl-3,6-octadienal (iso-Neral)",0.78
91844-92-7,"Lemongrass oil, East Indian",72203-97-5,"(Z) 3,7-Dimethyl-3,6-octadienal (iso-Neral)",0.78
8007-02-1,"Lemongrass oil, West Indian",72203-97-5,"(Z) 3,7-Dimethyl-3,6-octadienal (iso-Neral)",1.0
89998-14-1,"Lemongrass oil, West Indian",72203-97-5,"(Z) 3,7-Dimethyl-3,6-octadienal (iso-Neral)",1.0
68855-99-2,Litsea cubeba oil,72203-97-5,"(Z) 3,7-Dimethyl-3,6-octadienal (iso-Neral)",0.4
90063-59-5,Litsea cubeba oil,72203-97-5,"(Z) 3,7-Dimethyl-3,6-octadienal (iso-Neral)",0.4
8048-51-9,Petitgrain lemon oil,72203-97-5,"(Z) 3,7-Dimethyl-3,6-octadienal (iso-Neral)",0.2
84929-31-7,Petitgrain lemon oil,72203-97-5,"(Z) 3,7-Dimethyl-3,6-octadienal (iso-Neral)",0.2
8006-78-8,"Bay leaf, West Indian, oil",2442-10-6,1-Octen-3-yl acetate,0.3
91721-75-4,"Bay leaf, West Indian, oil",2442-10-6,1-Octen-3-yl acetate,0.3
85085-61-6,"Bay leaf, West Indian, oil",2442-10-6,1-Octen-3-yl acetate,0.3
917-841-2,"Erospicata oil, Mentha spicata 'Erospicata'",2442-10-6,1-Octen-3-yl acetate,0.06
84696-51-5,"Erospicata oil, Mentha spicata 'Erospicata'",2442-10-6,1-Octen-3-yl acetate,0.06
8022-15-9,Lavandin abrialis oil,2442-10-6,1-Octen-3-yl acetate,0.2
93455-96-0,Lavandin abrialis oil,2442-10-6,1-Octen-3-yl acetate,0.2
8022-15-9,Lavandin absolute,2442-10-6,1-Octen-3-yl acetate,1.09
91722-69-9,Lavandin absolute,2442-10-6,1-Octen-3-yl acetate,1.09
617-009-6,Lavandin grosso absolute,2442-10-6,1-Octen-3-yl acetate,0.14
93455-97-1,Lavandin grosso absolute,2442-10-6,1-Octen-3-yl acetate,0.14
8022-15-9,Lavandin grosso oil,2442-10-6,1-Octen-3-yl acetate,0.3
93455-97-1,Lavandin grosso oil,2442-10-6,1-Octen-3-yl acetate,0.3
8022-15-9,Lavandin oil,2442-10-6,1-Octen-3-yl acetate,0.3
91722-69-9,Lavandin oil,2442-10-6,1-Octen-3-yl acetate,0.3
93685-88-2,Lavandin super oil,2442-10-6,1-Octen-3-yl acetate,0.3
